sku_id,forecast_8w_units,avg_weekly_forecast,stock_on_hand,reorder_point,safety_stock,stores,sku_name,category,unit_price,cost_price,stockout_gap_units,overstock_excess_units,stockout_high,overstock_high,stockout_risk_pct,overstock_ratio,action,sales_at_risk,capital_locked,risk_flag_source,slow_mover_flag,priority_value
SKU04321,44030.12359924295,5503.765449905369,260.0,581.0,189.0,10.0,EliteHome Hair Care Pack of 6,Personal Care,961.3,658.32,43770.12359924295,0.0,True,False,100.0,0.0059050481521807,Reorder now,42076219.81595225,0.0,1,0,42076219.81595225
SKU04062,40.682369669323656,5.085296208665457,7249.0,1618.0,618.0,28.0,PurePlus Mobile Accessories Family Pack,Electronics & Accessories,3430.14,2728.94,0.0,6590.317630330676,False,True,0.5612135421344138,178.1852939964329,Markdown / clear,0.0,17984581.394114595,0,1,17984581.394114595
SKU03150,40.08732727559296,5.01091590944912,7072.0,1556.0,527.0,26.0,ZestyCo Women's Wear 250g,Apparel & Footwear,3570.59,2742.62,0.0,6504.912672724408,False,True,0.5668456911141538,176.41485428502898,Markdown / clear,0.0,17840503.594467413,0,1,17840503.594467413
SKU03043,40.9567431730438,5.119592896630475,5107.0,1235.0,420.0,20.0,HealthFirst Mobile Accessories Medium,Electronics & Accessories,4386.71,3398.16,0.0,4646.043256826956,False,True,0.8019726487770471,124.69253178707912,Markdown / clear,0.0,15787998.35361909,0,1,15787998.35361909
SKU04409,41.11177956377947,5.138972445472434,7772.0,1688.0,570.0,28.0,SunriseFoods Footwear 2kg,Apparel & Footwear,2585.87,1975.87,0.0,7160.888220436221,False,True,0.5289729743152274,189.04557483197175,Markdown / clear,0.0,14148984.208113316,0,1,14148984.208113316
SKU01428,41.359920768026655,5.169990096003332,7389.0,1566.0,567.0,26.0,BasicNeeds Men's Wear 250ml,Apparel & Footwear,2772.39,2043.62,0.0,6780.640079231974,False,True,0.5597499088919564,178.65121264236262,Markdown / clear,0.0,13857051.678720046,0,1,13857051.678720046
SKU01174,40.24038451996843,5.030048064996054,9102.0,1898.0,613.0,29.0,NovaFresh Home Decor 2L,Home & Kitchen,1964.02,1462.83,0.0,8448.759615480032,False,True,0.442104861788271,226.19068153991736,Markdown / clear,0.0,12359099.028312655,0,1,12359099.028312655
SKU00075,40.97922132934709,5.1224026661683855,5552.0,1274.0,465.0,21.0,TrueTaste Batteries 250g,Electronics & Accessories,3697.58,2393.21,0.0,5046.020778670653,False,True,0.7380983668830526,135.4832966536619,Markdown / clear,0.0,12076187.387722392,0,1,12076187.387722392
SKU01542,40.14751502414548,5.018439378018185,7538.0,1526.0,514.0,22.0,FamilyChoice Home Decor 1L,Home & Kitchen,2612.73,1593.84,0.0,6983.852484975854,False,True,0.5326016851173452,187.7575734255658,Markdown / clear,0.0,11131143.444653915,0,1,11131143.444653915
SKU01423,40.78252283022378,5.097815353777973,5987.0,1438.0,524.0,25.0,BasicNeeds Mobile Accessories 500g,Electronics & Accessories,2866.27,2040.58,0.0,5422.217477169776,False,True,0.6811846138337028,146.80308094042323,Markdown / clear,0.0,11064468.539563105,0,1,11064468.539563105
SKU04791,48.10903718881832,6.01362964860229,6763.0,1525.0,558.0,25.0,CleanWave Batteries Large,Electronics & Accessories,2688.04,1755.1,0.0,6156.890962811181,False,True,0.711356457028217,140.57649862034407,Markdown / clear,0.0,10805959.328829903,0,1,10805959.328829903
SKU02421,40.66434415847745,5.083043019809681,7292.0,1630.0,616.0,29.0,HomeStyle Kids Wear 500g,Apparel & Footwear,2671.52,1612.38,0.0,6635.335655841523,False,True,0.5576569412846606,179.3217166267714,Markdown / clear,0.0,10698682.504765756,0,1,10698682.504765756
SKU00167,40.48383971254764,5.060479964068455,6662.0,1563.0,578.0,30.0,ZestyCo Batteries 500g,Electronics & Accessories,2596.95,1652.67,0.0,6043.516160287452,False,True,0.6076829737698536,164.55948959641708,Markdown / clear,0.0,9987937.852622263,0,1,9987937.852622263
